JD,Mag,MagErr
2460972.523894,15.679907,0.099433
2460972.528181,15.671355,0.107965
2460972.532446,15.671476,0.115363
2460972.538846,15.664847,0.114960
2460972.545254,15.689394,0.115357
2460972.551653,15.729424,0.108022
2460972.558059,15.674336,0.103791
2460972.567385,15.691789,0.092892
2460972.571677,15.714338,0.103502
2460972.575935,15.728034,0.113564
2460972.582343,15.753742,0.112470
2460972.588749,15.680346,0.100656
2460972.607604,15.677843,0.100842
2460972.611897,15.663910,0.101769
2460972.616156,15.692891,0.098311
