JD,Mag,MagErr
2460972.521756,15.774675,0.020607
2460972.530317,15.779000,0.011904
2460972.536716,15.760997,0.014245
2460972.543124,15.750776,0.015570
2460972.549523,15.774256,0.015303
2460972.555930,15.782584,0.013857
2460972.565253,15.766945,0.015591
2460972.573807,15.777725,0.018077
2460972.580213,15.748167,0.023666
2460972.586619,15.765386,0.015212
2460972.593026,15.760073,0.024018
2460972.605473,15.779012,0.082965
2460972.614026,15.786462,0.057242
2460972.620432,15.730314,0.050830
