JD,Mag,MagErr
2460958.552769,14.166995,0.051625
2460958.559176,14.186973,0.052753
2460958.565588,14.182311,0.044248
2460958.571993,14.222259,0.061066
2460958.578399,14.296073,0.051267
2460958.593998,14.217469,0.056745
2460958.600404,14.175939,0.058202
2460958.606809,14.188759,0.050299
2460958.613208,14.185290,0.050191
2460958.619613,14.158116,0.046880
2460958.631427,14.150559,0.071620
2460958.637836,14.202215,0.042641
2460971.460776,14.034174,0.037452
2460971.462883,14.060720,0.031389
2460971.464989,14.070825,0.032092
2460971.467095,14.071446,0.037423
2460971.469201,14.074294,0.037259
2460971.471306,14.072373,0.038291
2460971.473412,14.093378,0.031220
2460971.475518,14.115947,0.031339
2460971.488149,14.119654,0.032546
2460971.490253,14.145570,0.032727
2460971.492359,14.122957,0.028523
2460971.494464,14.105615,0.024645
2460971.518554,14.026323,0.039146
2460971.520661,14.063813,0.025298
2460971.522766,14.077390,0.039329
2460971.524871,14.065245,0.040615
2460971.526976,14.087232,0.020932
2460971.529080,14.068839,0.042661
2460971.531185,14.070342,0.028938
2460971.533291,14.082275,0.031947
2460971.535395,14.078983,0.021110
2460971.537501,14.053897,0.043877
2460971.541711,14.123115,0.038210
2460971.543816,14.124931,0.039247
2460971.545921,14.161809,0.030856
2460971.548026,14.165871,0.031957
2460971.550131,14.162685,0.033569
2460971.552236,14.189114,0.017185
2460971.554342,14.181416,0.026313
2460971.556447,14.220090,0.040650
2460971.561416,14.152713,0.031993
2460971.563523,14.155306,0.061522
2460971.567734,14.127792,0.039614
2460972.518330,14.143240,0.081924
2460972.522617,14.154857,0.070351
2460972.526882,14.145532,0.083117
2460972.533282,14.171916,0.067345
2460972.539689,14.161157,0.066747
2460972.546088,14.167227,0.070225
2460972.552494,14.204601,0.070274
2460972.561819,14.194382,0.067881
2460972.566111,14.215312,0.066310
2460972.570369,14.224813,0.073639
2460972.576777,14.239100,0.087609
2460972.583182,14.249929,0.073248
2460972.616993,14.086989,0.078306
2460972.623399,14.141561,0.099626
