Phase,Mag,MagErr,Curve
0.000000,14.184192,0.083207,14.224548
0.044352,14.203748,0.085592,14.189247
0.088732,14.221406,0.074590,14.182666
0.133070,14.259712,0.055652,14.251434
0.177408,14.345461,0.091039,14.342560
0.285381,14.223471,0.091402,14.245704
0.329721,14.235978,0.080669,14.157790
0.418350,14.219538,0.093271,14.155639
0.462683,14.221147,0.074423,14.201565
0.544459,14.247532,0.077478,14.221361
0.588823,14.194307,0.080067,14.162332
0.346803,14.074054,0.044867,14.139095
0.361390,14.125397,0.056085,14.131079
0.375966,14.161618,0.055391,14.129917
0.390541,14.120634,0.047863,14.134664
0.405118,14.135621,0.060483,14.144110
0.419692,14.126266,0.080747,14.156924
0.434272,14.162657,0.059292,14.171767
0.448843,14.172563,0.044171,14.187312
0.550840,14.197755,0.068240,14.215701
0.565415,14.160380,0.057051,14.198745
0.579984,14.173323,0.061896,14.177092
0.746731,14.079831,0.058889,14.103436
0.761316,14.100157,0.059613,14.113164
0.775889,14.124880,0.071013,14.118924
0.790456,14.146388,0.049004,14.120415
0.805027,14.153008,0.057265,14.118327
0.819594,14.100212,0.077229,14.114211
0.834162,14.113623,0.076272,14.110165
0.848742,14.100351,0.040732,14.108419
0.863306,14.113828,0.051222,14.110872
0.877878,14.039872,0.046403,14.118682
0.907021,14.170793,0.078283,14.149868
0.921594,14.160696,0.098007,14.170380
0.936162,14.190988,0.059944,14.190957
0.950734,14.256621,0.075528,14.208865
0.965302,14.222840,0.051099,14.221675
0.979875,14.245717,0.047900,14.227782
0.994451,14.232436,0.068052,14.226711
0.009019,14.326288,0.058531,14.219293
0.043415,14.164051,0.062271,14.189998
0.058003,14.185498,0.085929,14.180329
0.087149,14.128165,0.048209,14.181601
0.666993,14.054954,0.069130,14.058651
0.696671,14.077330,0.090386,14.062530
0.726190,14.080190,0.086165,14.085603
0.770490,14.113836,0.099175,14.117293
0.814841,14.109273,0.101998,14.115655
0.859133,14.123343,0.108924,14.109655
0.903472,14.187424,0.100442,14.145187
0.968021,14.161144,0.109776,14.223355
0.997728,14.171183,0.114240,14.225541
0.027200,14.184723,0.116516,14.204307
0.071554,14.195130,0.102828,14.176823
0.115891,14.207560,0.095536,14.217133
0.394262,14.114645,0.100367,14.136680
