JD,Mag,MagErr
2460937.569719,14.058000,0.012000
2460937.571818,14.139048,0.012000
2460937.573915,14.160097,0.008000
2460937.576013,14.167145,0.008000
2460937.578112,14.120193,0.011000
2460937.580210,14.182242,0.008000
2460937.582308,14.100290,0.009000
2460937.584407,14.155339,0.008000
2460937.586505,14.102387,0.009000
2460937.588603,14.098435,0.009000
2460937.590702,14.128484,0.010000
2460937.592800,14.112532,0.008000
2460937.594897,14.127580,0.010000
2460937.596995,14.095629,0.007000
2460937.599093,14.054677,0.014000
2460937.601192,14.071725,0.013000
2460937.603290,14.044774,0.008000
2460937.605388,14.079822,0.007000
2460937.607487,14.052870,0.008000
2460937.616962,13.769089,0.011000
2460937.619062,13.942137,0.014000
2460937.621160,14.041185,0.010000
2460937.623259,14.118234,0.014000
2460937.625358,14.141282,0.012000
2460951.545669,14.043464,0.011000
2460951.547776,14.149455,0.015000
2460951.549880,14.164445,0.015000
2460951.551985,14.195436,0.013000
2460951.554091,14.305427,0.014000
2460951.556197,14.266417,0.015000
2460951.558304,14.313408,0.018000
2460951.560408,14.286398,0.018000
2460951.562514,14.337389,0.017000
2460951.564620,14.265379,0.023000
2460951.566726,14.216369,0.019000
2460951.568831,14.227360,0.037000
2460951.570937,14.162350,0.023000
2460951.573042,14.115341,0.025000
2460951.575147,14.171331,0.016000
2460951.577251,14.159321,0.018000
2460951.579357,14.214312,0.028000
2460951.584323,14.188289,0.024000
2460951.586429,14.161279,0.021000
2460951.588536,14.184269,0.008000
2460951.590643,14.210259,0.015000
2460951.592748,14.124249,0.026000
2460951.594855,14.136239,0.024000
2460951.596962,14.070230,0.017000
2460951.599068,14.204220,0.023000
2460951.601173,14.066210,0.015000
2460951.603279,14.149200,0.013000
2460951.605384,14.045190,0.015000
2460951.607489,14.183180,0.022000
2460951.609594,14.117170,0.024000
2460951.611700,14.124160,0.015000
2460951.613806,14.234150,0.012000
2460951.615912,14.229140,0.026000
2460951.618016,14.278129,0.039000
2460951.620122,14.180119,0.036000
2460951.622227,14.176109,0.018000
2460951.627977,14.271081,0.008000
2460951.630084,14.290071,0.007000
2460951.632189,14.266061,0.008000
2460951.634295,14.228051,0.012000
2460951.636401,14.160040,0.008000
2460951.638506,14.225030,0.014000
2460951.640612,14.146020,0.010000
2460958.548492,14.119449,0.019000
2460958.554899,14.101303,0.026000
2460958.561312,14.154156,0.023000
2460958.567717,14.079009,0.021000
2460958.580527,14.110716,0.018000
2460958.589719,14.200504,0.014000
2460958.596127,14.104357,0.006000
2460958.608939,14.111062,0.010000
2460958.615338,14.078914,0.018000
2460958.621741,14.056766,0.014000
2460958.627149,14.038640,0.006000
2460972.516192,14.045889,0.007608
2460972.524753,14.010256,0.006465
2460972.531152,14.014223,0.008898
2460972.537559,14.080824,0.015237
2460972.543958,14.046697,0.024404
2460972.550365,13.981803,0.026376
2460972.559688,14.072407,0.017701
2460972.568241,14.092223,0.020384
2460972.574647,14.141914,0.023131
2460972.581053,14.106121,0.017865
2460972.587459,14.098744,0.036151
2460972.614865,13.987975,0.016296
2460972.621269,13.990969,0.025790
